Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:30:22	PI_4	340	2	2	1405754	0	0,1
2016-Jan-05 11:30:24	PI_4	341	2	0	642933	0	
2016-Jan-05 11:30:26	PI_4	342	2	0	642933	0	
2016-Jan-05 11:30:28	PI_4	343	2	2	1405754	0	0,1
2016-Jan-05 11:30:30	PI_4	344	2	0	642933	0	
2016-Jan-05 11:30:32	PI_4	345	2	0	642933	0	
2016-Jan-05 11:30:34	PI_4	346	2	2	1405754	0	0,1
2016-Jan-05 11:30:36	PI_4	347	2	0	642933	0	
2016-Jan-05 11:30:38	PI_4	348	2	1	997955	0	0
2016-Jan-05 11:30:40	PI_4	349	2	1	997955	0	0
2016-Jan-05 11:30:42	PI_4	350	2	2	1405754	0	0,1
2016-Jan-05 11:30:44	PI_4	351	2	0	642933	0	
2016-Jan-05 11:30:46	PI_4	352	2	2	1405754	0	0,1
2016-Jan-05 11:30:48	PI_4	353	2	0	642933	0	
2016-Jan-05 11:30:50	PI_4	354	2	0	642933	0	
2016-Jan-05 11:30:52	PI_4	355	2	0	642933	0	
2016-Jan-05 11:30:54	PI_4	356	2	2	1405754	0	0,1
2016-Jan-05 11:30:56	PI_4	357	2	0	642933	0	
2016-Jan-05 11:30:58	PI_4	358	2	0	642933	0	
2016-Jan-05 11:31:00	PI_4	359	2	2	1405754	0	0,1
2016-Jan-05 11:31:02	PI_4	360	2	0	642933	0	
2016-Jan-05 11:31:04	PI_4	361	2	0	642933	0	
2016-Jan-05 11:31:06	PI_4	362	2	2	1405754	0	0,1
2016-Jan-05 11:31:08	PI_4	363	2	0	642933	0	
2016-Jan-05 11:31:10	PI_4	364	2	0	642933	0	
2016-Jan-05 11:31:12	PI_4	365	2	2	1405754	0	0,1
2016-Jan-05 11:31:14	PI_4	366	2	0	642933	0	
2016-Jan-05 11:31:16	PI_4	367	2	2	1405754	0	0,1
2016-Jan-05 11:31:18	PI_4	368	2	2	1405754	0	0,1
2016-Jan-05 11:31:20	PI_4	369	2	2	1405754	0	0,1
2016-Jan-05 11:31:22	PI_4	370	2	0	642933	0	
